Episode No.,Date Played,Show Title,Artist,Title,Year,Suggested By 1,Suggested By 2,Suggested By 3,Notes
2,2024-05-13,Numbers,Wizo,The Count,,,,,
2,2024-05-13,Numbers,Steps,"5,6,7,8",,@witewulf@cyberplace.social,,,
2,2024-05-13,Numbers,Marvin Gaye & Kim Weston,It Takes Two,,,,,
2,2024-05-13,Numbers,Manfred Mann,5-4-3-2-1,,,,,
2,2024-05-13,Numbers,Wilson Pickett,Land of a Thousand Dances,,,,,
2,2024-05-13,Numbers,Miami Nights 1984,Only When it’s Dark,,Selina,,,
2,2024-05-13,Numbers,New Order,586,,@shivviness,,,
2,2024-05-13,Numbers,Barenaked Ladies,789,,,,,
2,2024-05-13,Numbers,Bert & Ernie,Bert’s Favourite Number,,@swisslet,,,
2,2024-05-13,Numbers,Clutch,10001110101,,@witewulf,,,
2,2024-05-13,Numbers,Goldfinger,99 Red Balloons,,@swisslet,,,
2,2024-05-13,Numbers,Ash,Death Trip 21,,,,,
2,2024-05-13,Numbers,Iron Maiden,The Number of the Beast,,@intheseshoes,,,
2,2024-05-13,Numbers,Rise Against,Audience of One,,,,,
2,2024-05-13,Numbers,Millencolin,Twenty Two,,,,,
2,2024-05-13,Numbers,Paul Hardcastle,19,,@intheseshoes,,,
2,2024-05-13,Numbers,Moulettes,Patterns,,@bez_lightyear,,,
2,2024-05-13,Numbers,Miley Cyrus & Stevie Nicks,Edge of Midnight,,@nikkileah,,,
2,2024-05-13,Numbers,High Contrast,Days Go By,,,,,
2,2024-05-13,Numbers,Queens of the Stone Age,"You Think I Ain’t Worth a Dollar, but I Feel Like a Millionaire",,,,,
2,2024-05-13,Numbers,Metallica,The Four Horsemen,,,,,
2,2024-05-13,Numbers,Alabama 3,Hypo Full of Love (The 12 Step Plan),,@uair,,,
2,2024-05-13,Numbers,The Breeders,Son of Three,,,,,
2,2024-05-13,Numbers,The Jesus Lizard,50c,,,,,
2,2024-05-13,Numbers,The Magnetic Fields,"100,000 Fireflies",,@shivviness,,,
2,2024-05-13,Numbers,The Connells,’74-‘75,,,,,
2,2024-05-13,Numbers,Aphrodite’s Child,The Four Horsemen,,,,,
,,,,,,,,,
3,2024-05-20,Summer,The Divine Comedy,The Pop Stars Fear of the Pollen Count,,@AdeOnDrums,,,
3,2024-05-20,Summer,XTC,Summer’s Cauldron ,,@AdeonDrums / @witewulf,,,
3,2024-05-20,Summer,Dodgy,Staying Out For The Summer,,@witewulf,,,
3,2024-05-20,Summer,Provincials,Ascending Summer,,,,,
3,2024-05-20,Summer,Porcupine Tree,Train,,@SharonGascoigne,,,
3,2024-05-20,Summer,Larry Adler (feat. Courtney Pine),Summertime,,Hayley,,,
3,2024-05-20,Summer,Nightwares on Wax,I Am You,,,,,
3,2024-05-20,Summer,Kyosuke Kusunoki,Sugar Dance,,@beardyfoxy (for Selina),,,
3,2024-05-20,Summer,Ice Cube,It Was A Good Day,,@Swisslet,,,
3,2024-05-20,Summer,Groove Armada,At The River,,@nikkileah,,,
3,2024-05-20,Summer,The Beach Boys,Surfin' Safari,,,,,
3,2024-05-20,Summer,Placebo,Loud Like Love,,@ametonym,,,
3,2024-05-20,Summer,Another Sunny Day,Anorak City,,@shivviness,,,
3,2024-05-20,Summer,The Ataris,Boys of Summer,,,,,
3,2024-05-20,Summer,Belle & Sebastian,Another Sunny Day,,@shivviness,,,
3,2024-05-20,Summer,The Fall,British People In Hot Weather,,,,,
3,2024-05-20,Summer,Violent Femmes,Blister In The Sun,,@Swisslet,,,
3,2024-05-20,Summer,Snuff,Soul Limbo,,@witewulf,,,
3,2024-05-20,Summer,Mad Capsule Markets,Kumo,,@beardyfoxy,,,
3,2024-05-20,Summer,The Polyphonic Spree,Light & Day / Reach For The Sun,,@witewulf,,,
3,2024-05-20,Summer,The Watersons ,Country Life,,@pdcawley,,,
3,2024-05-20,Summer,Sakanaktion,Wasarareranaino,,Selina,,,
3,2024-05-20,Summer,SAULT,We Are The Sun,,@TheBreadMonkey,,,
3,2024-05-20,Summer,Aqualung,Brighter Than Sunshine,,,,,
,,,,,,,,,
4,2024-05-27,Animals,Al Wilson,The Snake,,,,,
4,2024-05-27,Animals,Squeeze,Cool For Cats,,,,,
4,2024-05-27,Animals,Diagram Brothers,We Are All Animals,,Ian Tisdale,,,
4,2024-05-27,Animals,Dr Feelgood,Monkey,,,,,
4,2024-05-27,Animals,Skeewiff,Spanish Flea,,@TheBreadMonkey,,,
4,2024-05-27,Animals,Backyard Dog,Baddest Ruffest,,Tony,,,
4,2024-05-27,Animals,Mike Snow,Animals (Punks Jump UP remix),,,,,
4,2024-05-27,Animals,The All Seeing I,Walk Like A Panther,,,,,
4,2024-05-27,Animals,Lemon Jelly,Nice Weather For Ducks,,@Witewulf,,,
4,2024-05-27,Animals,Neon Bunny,Call You,,@beardyfoxy,,,
4,2024-05-27,Animals,For Tracy Hyde,Can Little Birds Remember?,,Selina,,,
4,2024-05-27,Animals,Laura Cantrell,Bees,,@shivviness,,,
4,2024-05-27,Animals,corook,I I were a fish,,@nikkileah,,,
4,2024-05-27,Animals,Pulled Apart By Horses,I Punched A Lion In The Throat,,,,,
4,2024-05-27,Animals,Rage Against The Machine,Bulls on Parade,,@swisslet,,,
4,2024-05-27,Animals,The Cramps,Human Fly,,@TheBreadMonkey,,,
4,2024-05-27,Animals,The B-52s,Rock Lobster,,@TheBreadMonkey,,,
4,2024-05-27,Animals,The Osmonds,Crazy Horses,,,,,
4,2024-05-27,Animals,The Wonder Stuff,Ruby Horse,,@SharonGascoigne,,,
4,2024-05-27,Animals,The Divine Comedy,My Lovely Horse,,,,,
4,2024-05-27,Animals,Pixies,Monkey Gone To Heaven,,@swisslet,,,
4,2024-05-27,Animals,Cardiacs,Dog Like Sparky,,@witewulf,,,
4,2024-05-27,Animals,The Smashing Pumpkins,Bullet With Butterfly Wings,,,,,
4,2024-05-27,Animals,[spunge],Kicking Pigeons,,@beardyfoxy,,,
4,2024-05-27,Animals,Tom Lehrer,Poisoning Pigeons In The Park,,,,,
4,2024-05-27,Animals,She Her Her Hers,Wolves,,Selina,,,
4,2024-05-27,Animals,Submotion Orchestra,Bird of Prey,,,,,
,,,,,,,,,
5,2024-06-03,Punctuation,Rolling Stones,"Paint It, Black",,Hayley,,,
5,2024-06-03,Punctuation,The Beatles,Help!,,@TheBreadMonkey,,,
5,2024-06-03,Punctuation,The Supremes,Stop! In The Name of Love,,,,,
5,2024-06-03,Punctuation,Charles & Eddie,Would I Lie To You?,,Selina,,,
5,2024-06-03,Punctuation,Snap!,Rhythm Is A Dancer,,@rvedotrc@tech.lgbt,,,
5,2024-06-03,Punctuation,D:Ream,Things Can Only Get Better,,@rvedotrc@tech.lgbt,,,
5,2024-06-03,Punctuation,Fat Boy Slim,Slash Dot Dash,,@rvedotrc@tech.lgbt,,,
5,2024-06-03,Punctuation,Regurgitator,! (The Song Formerly Known As),,@troberts,,,
5,2024-06-03,Punctuation,The Go! Team,Panther Dash,,@daveybot@mastodon.scot,,,
5,2024-06-03,Punctuation,The Wombats,Sex and Question Marks,,@Tattooed_Mummy,,,
5,2024-06-03,Punctuation,!!!,Hello? Is This Thing On?,,,,,
5,2024-06-03,Punctuation,Adam Zindani,What About love,,@SharonGascoigne,,,
5,2024-06-03,Punctuation,Tilde,Cliche,,@ametonym,,,
5,2024-06-03,Punctuation,Therapy?,Going Nowhere,,@shinydan,,,
5,2024-06-03,Punctuation,Touché Amoré,~,,,,,
5,2024-06-03,Punctuation,System of a Down,Chop Suey!,,@beardyfoxy,,,
5,2024-06-03,Punctuation,Panic! At The Disco,I Write Sins Not Tragedies,,@swisslet,,,
5,2024-06-03,Punctuation,Weezer,Hash Pipe,,@Ade_On_Drums @witewulf,,,
5,2024-06-03,Punctuation,Buzzcocks,Ever Fallen In Love (With Someone You Shouldn’t’ve),,,,,
5,2024-06-03,Punctuation,Nick Cave & The Bad Seeds,Dig!!! Lazarus Dig!!!,,,,,
5,2024-06-03,Punctuation,Frank Zappa,Apostyrophe,,@intheseheels,,,
5,2024-06-03,Punctuation,Jimi Hendrix,Voodoo Child (Slight Return),,@Psotle,,,
5,2024-06-03,Punctuation,The Byrds,Turn! Turn! Turn! (To Everything There Is A Season),,@witewulf,,,
5,2024-06-03,Punctuation,Wham!,Wake Me Up Before You Go Go,,@sodslawyer,,,
5,2024-06-03,Punctuation,Neu!,Hallogallo,,@shinydan @sodslawyer,,,
,,,,,,,,,
6,2024-06-10,The Rainbow,Icicle Works,Love Is A Wonderful Colour,,@SharonGascoigne,,,
6,2024-06-10,The Rainbow,Laura Mvula,Green Garden,,@TheBreadMonkey,,,
6,2024-06-10,The Rainbow,Moloko,Indigo,,@witewulf,,,
6,2024-06-10,The Rainbow,R.E.M.,Orange Crush,,@DaveyBot,,,
6,2024-06-10,The Rainbow,Cruyff In The Bedroom,"Clear Light, White Cloud",,Selina,,,
6,2024-06-10,The Rainbow,Sunglasses Kid,Red Shoes,,Selina,,,
6,2024-06-10,The Rainbow,Boards of Canada,Roygbiv,,@sodslawyer,,,
6,2024-06-10,The Rainbow,Gaz Coombes,White Noise,,@DaveyBot,,,
6,2024-06-10,The Rainbow,India Arie,Brown Skin,,@DaveyBot,,,
6,2024-06-10,The Rainbow,Nina Simone,Mood Indigo,,,,,
6,2024-06-10,The Rainbow,Sodagreen,Little Love Song,,@beardyfoxy,,,
6,2024-06-10,The Rainbow,Ruby Fields,Libby’s Pink Car,,,,,
6,2024-06-10,The Rainbow,AC/DC,Back In Black,,@swisslet,,,
6,2024-06-10,The Rainbow,Incubus,A Certain Shade of Green,,,,,
6,2024-06-10,The Rainbow,Green Lung,Reaper’s Scythe,,,,,
6,2024-06-10,The Rainbow,Asian Dub Foundation,Black White,,@DaveyBot,,,
6,2024-06-10,The Rainbow,Dave,Black,,,,,
6,2024-06-10,The Rainbow,CHVRCHES,Clearest Blue,,,,,
6,2024-06-10,The Rainbow,Electric Light Orchestra,Mr Blue Sky,,Hayley,,,
6,2024-06-10,The Rainbow,Leonard Cohen,Famous Blue Raincoat,,@ametonym,,,
6,2024-06-10,The Rainbow,Prince & The Revolution,Purple Rain,,@DaveyBot,,,
6,2024-06-10,The Rainbow,The George Baker Selection,Little Green Bag,,@TheBreadMonkey,,,
6,2024-06-10,The Rainbow,Pink Floyd,Have A Cigar (Take A Joint version),,@witewulf,,,
,,,,,,,,,
7,2024-06-17,“I heard they suck live”,TV On The Radio,Wolf Like Me,,,,,
7,2024-06-17,“I heard they suck live”,Cheap Trick,"Come On, Come On",,@billyjoebowers,,,
7,2024-06-17,“I heard they suck live”,The Angels,Am I Ever Gonna See Your Face Again,,@fkamiah @TheBreadMonkey @Djar,,,
7,2024-06-17,“I heard they suck live”,Genesis,Afterglow,,@inpc,,,
7,2024-06-17,“I heard they suck live”,Bellowhead,New York Girls,,@pierscawley,,,
7,2024-06-17,“I heard they suck live”,U2,Bullet The Blue Sky,,@Rhevian,,,
7,2024-06-17,“I heard they suck live”,James Brown,(Call Me) Super Bad,,@rollotreadway,,,
7,2024-06-17,“I heard they suck live”,The Beatles,All My Loving,,@SharonGascoigne,,,
7,2024-06-17,“I heard they suck live”,Muddy Waters,I Got My Brand On You,,@Sodslawyer,,,
7,2024-06-17,“I heard they suck live”,Iron Maiden,Fear Of The Dark,,@swisslet,,,
7,2024-06-17,“I heard they suck live”,AC/DC,Riff Raff (live in ’78),,@TheBreadMonkey,,,
7,2024-06-17,“I heard they suck live”,Johnny Cash,Folsom Prison Blues,,@TheBreadMonkey / @swisslet,,,
7,2024-06-17,“I heard they suck live”,NOFX,Linoleum,,@TheHomespunDays,,,
7,2024-06-17,“I heard they suck live”,Elvis,Are You Lonesome Tonight,,@witewulf,,,
7,2024-06-17,“I heard they suck live”,Depeche Mode,Enjoy The Silence,,@witewulf,,,
7,2024-06-17,“I heard they suck live”,Nirvana,Come As You Are (unplugged),,Hayley,,,
7,2024-06-17,“I heard they suck live”,Pulp ,This Is Hardcore (Glasto ’98),,Hayley,,,
7,2024-06-17,“I heard they suck live”,Pulp,Babies (Peel Session),,,,,
7,2024-06-17,“I heard they suck live”,Opus & Falco,Rock Me Amadeus,,,,,
7,2024-06-17,“I heard they suck live”,The Chats,Pub Feed,,,,,
7,2024-06-17,“I heard they suck live”,Supergrass,Caught By The Fuzz (w/Taylor Hawkins),,,,,
7,2024-06-17,“I heard they suck live”,Stevie Wonder,I Don’t Know Why,,,,,
7,2024-06-17,“I heard they suck live”,Gary Numan / NIN,Cars,,,,,
,,,,,,,,,
8,2024-06-24,SPAAAACE,Muse,Supermassive Blackhole,,@witewulf,,,
8,2024-06-24,SPAAAACE,The Firm,Star Trekkin’,,"Hayley, @witewulf",,,
8,2024-06-24,SPAAAACE,Public Service Broadcasting,Gagarin,,@rollotreadway,,,
8,2024-06-24,SPAAAACE,OMD,Walking On The Milky Way,,@beardyfoxy,,,
8,2024-06-24,SPAAAACE,Kylie,Spinning Around,,@daveybot,,,
8,2024-06-24,SPAAAACE,Beastie Boys,Intergalactic,,"@daveybot, @sharongascoigne",,,
8,2024-06-24,SPAAAACE,Canibus,Channel Zero,,@TheBreadMonkey,,,
8,2024-06-24,SPAAAACE,The Martian,Sex In Zero Gravity,,@TwoClownsEating,,,
8,2024-06-24,SPAAAACE,The Prodigy,Out of Space,,@witewulf,,,
8,2024-06-24,SPAAAACE,BTS,134340,,@ametonym,,,
8,2024-06-24,SPAAAACE,Polly,Starlight Starlight,,Selina,,,
8,2024-06-24,SPAAAACE,"Oakenfield, Crazy Town",Starry Eyed Surprise,,@TheBreadMonkey,,,
8,2024-06-24,SPAAAACE,Lou Reed,Satellite of Love (Dab Hands Retouch mix),,@Rhevian,,,
8,2024-06-24,SPAAAACE,Tasmin Archer,Sleeping Satellite,,@witewulf,,,
8,2024-06-24,SPAAAACE,Ash,Jack Names The Planets,,"@witewulf, @intheseheels",,,
8,2024-06-24,SPAAAACE,Creedence Clearwater Revival,Bad Moon Rising,,@swisslet,,,
8,2024-06-24,SPAAAACE,Fiction,Purple Majesty (album Space Rock Opera),,@bez_lightyear,,,
8,2024-06-24,SPAAAACE,Coca Lola,Quickspace,,@Sodslawyer,,,
8,2024-06-24,SPAAAACE,Chuck Berry,Johnny B. Goode,,@intheseheels,,,
8,2024-06-24,SPAAAACE,Julian Cope,Spacehopper,,@SharonGascoigne,,,
8,2024-06-24,SPAAAACE,Wings ,Venus & Mars,,@Tattooed_Mummy,,,
8,2024-06-24,SPAAAACE,Calexico,Moon Never Rises,,@shivviness,,,
8,2024-06-24,SPAAAACE,Dubstar,Stars,,@nikkileah,,,
8,2024-06-24,SPAAAACE,Chouchou,Voyager,,Selina,,,
8,2024-06-24,SPAAAACE,Waterboys,Whole Of The Moon,,@nikkileah,,,
8,2024-06-24,SPAAAACE,David Bowie,Space Oddity,,"Hayley, @rhevian",,,
8,2024-06-24,SPAAAACE,Chris Hadfield / Barenaked Ladies,I.S.S. (Is Somebody Singing),,@arakin,,,
8,2024-06-24,SPAAAACE,Jonathan Coulton,I’m Your Moon,,@daveybot,,,
8,2024-06-24,SPAAAACE,Spiritualized,Ladies And Gentlemen We Are Floating In Space,,@Sodslawyer @beardyfoxy,,,
,,,,,,,,,
9,2024-07-01,Protest,Ana Tijoux,Shock,,@ametonym,,,
9,2024-07-01,Protest,Bob Marley,"Get Up, Stand Up",,@AndreLouis @Swisslet,,,
9,2024-07-01,Protest,Public Enemy,Fight The Power,,@DaveyBot,,,
9,2024-07-01,Protest,Gil Scott-Heron,The Revolution Will Not Be Televised,,@JeriDansky,,,
9,2024-07-01,Protest,Midnight Oil,Beds Are Burning,,@nikkileah,,,
9,2024-07-01,Protest,Propagandhi,Cop Just Out Of Frame,,@Psotle,,,
9,2024-07-01,Protest,Bob Dylan,Masters of War,,@schnukster,,,
9,2024-07-01,Protest,Levellers,Battle Of The Beanfield,,@SharonGascoigne @Ametonym,,,
9,2024-07-01,Protest,The Cranberries,Zombie,,@shezza-t,,,
9,2024-07-01,Protest,Pennywise,Fuck Authority,,@SirGarbagetruck,,,
9,2024-07-01,Protest,Tricky,Black Steel (Been Caught Stealing Mix),,@sodslawyer,,,
9,2024-07-01,Protest,Heaven 17,We Don’t Need This Fascist Groove Thing,,@sodslawyer @TLB73,,,
9,2024-07-01,Protest,Billy Bragg,Between The Wars,,@Swisslet,,,
9,2024-07-01,Protest,Rage Against The Machine,Killing In The Name,,@Tattooed_Mummy,,,
9,2024-07-01,Protest,Soft Play,Punk’s Dead,,@TheBreadMonkey,,,
9,2024-07-01,Protest,Gil Scott-Heron,Whitey’s On The Moon,,@TheBreadMonkey,,,
9,2024-07-01,Protest,NOFX,The Irrationality of Rationality,,@TheHomespunDays,,,
9,2024-07-01,Protest,Culture Club,The War Song,,@witewulf,,,
9,2024-07-01,Protest,Clutch ,Fortunate Son,,Hayley,,,
9,2024-07-01,Protest,NWA,Fuck Tha Police,,Selina,,,
9,2024-07-01,Protest,The Wolfe Tones,Come Out Ye Black & Tans,,Thomas Rigby @hryggrbyr@fedia.social,,,
9,2024-07-01,Protest,Robert Wyatt,Shipbuilding,,,,,
9,2024-07-01,Protest,Piers Cawley,Child Of The Library,,,,,
9,2024-07-01,Protest,Billie Holiday,Strange Fruit,,,,,
9,2024-07-01,Protest,Marvin Gaye,What’s Going On,,,,,
9,2024-07-01,Protest,Edwin Starr ,War,,,,,
9,2024-07-01,Protest,Bob Vylan,Hunger Games,,,,,
9,2024-07-01,Protest,Michael Franti & Spearhead,Rock The Nation,,@steinvis,,,
9,2024-07-01,Protest,Dead Kennedys,Nazi Punks Fuck Off,,@TLB73,,,
,,,,,,,,,
10,2024-07-08,P-A-R-T-Y,The Surfaris,Wipeout,,@pierscawley,,,
10,2024-07-08,P-A-R-T-Y,DeeLite,Groove Is In The Heart,,@daveybot,,,
10,2024-07-08,P-A-R-T-Y,Junior Senior,Move Your Body,,,,,
10,2024-07-08,P-A-R-T-Y,Justice,Tthhee Ppaarrttyy,,Hayley,,,
10,2024-07-08,P-A-R-T-Y,The Black Eyed Peas,I Gotta Feeling,,,,,
10,2024-07-08,P-A-R-T-Y,Aqua,Barbie Girl,,@Tattooed_Mummy,,,
10,2024-07-08,P-A-R-T-Y,Russ Abbott,Atmosphere,,@pierscawley,,,
10,2024-07-08,P-A-R-T-Y,Kool & The Gang,Celebration,,,,,
10,2024-07-08,P-A-R-T-Y,Billy Ocean,Nights (You feel Like Gettin’ Down,,@brothersoul,,,
10,2024-07-08,P-A-R-T-Y,Cameo,Word Up,,@pierscawley,,,
10,2024-07-08,P-A-R-T-Y,Parliament,Give Up The Funk (Tear The Roof Off The Sucker),,@rollotreadway,,,
10,2024-07-08,P-A-R-T-Y,Prince,Musicology,,@brothersoul,,,
10,2024-07-08,P-A-R-T-Y,Andrew WK,Party Hard,,@Witewulf,,,
10,2024-07-08,P-A-R-T-Y,Led Zeppelin,Celebration Day,,,,,
10,2024-07-08,P-A-R-T-Y,Pop Will Eat Itself,Defcon One ,,@SharonGascoigne,,,
10,2024-07-08,P-A-R-T-Y,Queens of the Stone Age,No-one Knows,,@ametonym,,,
10,2024-07-08,P-A-R-T-Y,Lit ,Happy,,,,,
10,2024-07-08,P-A-R-T-Y,Queen,Another One Bites The Dust,,@jinshei,,,
10,2024-07-08,P-A-R-T-Y,Wanda Jackson,Let’s Have A Party,,,,,
10,2024-07-08,P-A-R-T-Y,Lionel Richie ,Dancing On The Ceiling,,Selina,,,
10,2024-07-08,P-A-R-T-Y,Black Lace,Agadoo,,@petraphoenix,,,
10,2024-07-08,P-A-R-T-Y,Lily Allen,Fuck You,,Hayley,,,
10,2024-07-08,P-A-R-T-Y,Gold Chains,Rock The Parti,,@sodslawyer,,,
10,2024-07-08,P-A-R-T-Y,VNV Nation,Gratitude,,@beardyfoxy,,,
10,2024-07-08,P-A-R-T-Y,Bloc Party,Flux,,,,,
,,,,,,,,,
11,2024-07-15,Bastille Day,Bob Sinclar,Gym & Tonic,,Tony,,,
11,2024-07-15,Bastille Day,France Gall,"Pope de cire, Poupée de Son",,,,,
11,2024-07-15,Bastille Day,Corridor,Junior,,@bez_lightyear,,,
11,2024-07-15,Bastille Day,Air ,All I Need,,@rhevian,,,
11,2024-07-15,Bastille Day,Brigitte Bardot & Serge Gainsbourg,Bonnie & Clyde,,@swisslet,,,
11,2024-07-15,Bastille Day,Frank Zappa,In France,,Jamie,,,
11,2024-07-15,Bastille Day,Zaho de Sagazan,Aspiration,,@rollotreadway,,,
11,2024-07-15,Bastille Day,Daft Punk,Da Funk,,@sodslawyer,,,
11,2024-07-15,Bastille Day,MC Solaar,Bouge De La,,@daveybot,,,
11,2024-07-15,Bastille Day,Serge Gainsbourg,Aux Armes et Caetera,,@swisslet(’s wife),,,
11,2024-07-15,Bastille Day,College,Love Peas,,Selina,,,
11,2024-07-15,Bastille Day,Edith Piaf,La Foule,,Hayley,,,
11,2024-07-15,Bastille Day,La Bottine Souriante,La Ziguezon,,@pdcawley,,,
11,2024-07-15,Bastille Day,Plastic Bertrand,Ca Plan Pour Moi,,@pdcawley,,,
11,2024-07-15,Bastille Day,Rush,Bastille Day,,@witewulf,,,
11,2024-07-15,Bastille Day,Trust,Antisocial,,@truck / @witewulf,,,
11,2024-07-15,Bastille Day,Alcest,Sapphire,,@hailsandales,,,
11,2024-07-15,Bastille Day,Gojira,The Cell,,@tomroberts,,,
11,2024-07-15,Bastille Day,Megadeth,Et Tout Le Monde,,@intheseheels,,,
11,2024-07-15,Bastille Day,M83,Midnight City,,,,,
11,2024-07-15,Bastille Day,Yann Tiersen,Ashes,,@beardyfoxy,,,
11,2024-07-15,Bastille Day,Martha Wainwright,"Dis, Quand Reviendras-Tu?",,@ametonym,,,
11,2024-07-15,Bastille Day,Christine & The Queens,Tilted / I Feel For You,,@shezza_t,,,
11,2024-07-15,Bastille Day,The Stranglers,La Folie,,@SharonGascoigne,,,
11,2024-07-15,Bastille Day,Hector Zazou,I’ll Strangle You,,@rhevian,,,
,,,,,,,,,
12,2024-07-22,MOVIES,Sleeper,Atomic,,@petraphoenix,,,Trainspotting
12,2024-07-22,MOVIES,David Bowie,Magic Dance,,@daveybot,,,Labyrinth
12,2024-07-22,MOVIES,Donna Summer,Hot Stuff,,@SharonGascoigne,,,The Full Monty
12,2024-07-22,MOVIES,Cornershop,Brimful of Asha,,@witewulf,,,
12,2024-07-22,MOVIES,Bomb The Bass,Megablast,,@rollotreadway,,,Assault on Precinct 13 (kinda)
12,2024-07-22,MOVIES,Gary Numan ,Films,,@7sleepersmusic,,,
12,2024-07-22,MOVIES,Michael Montes,Brigsby Bear,,,,,Brigsby Bear
12,2024-07-22,MOVIES,The Wonders,That Thing You Do,,,,,That Thing You Do
12,2024-07-22,MOVIES,Johnny Cash,Thunderball,,@swisslet,,,Thunderball (kinda)
12,2024-07-22,MOVIES,Daniel Lanois,Sleeping In The Devil’s Bed,,@rhevian,,,Until The End of the World
12,2024-07-22,MOVIES,Steve Jablonsky,Arrival To Earth,,@stevenixon,,,Transformers
12,2024-07-22,MOVIES,John Murphy,Sunshine (Adagio in D),,,,,Sunshine
12,2024-07-22,MOVIES,The Gimmes,Eastbound & Down,,,,,Smokey & The Bandit
12,2024-07-22,MOVIES,Glen Frey,The Heat Is On,,@shezza_t,,,Beverley Hills Cop
12,2024-07-22,MOVIES,Neil Patrick Harris,Angry Inch,,,,,Hedwig & The Angry Inch
12,2024-07-22,MOVIES,Hothouse Flowers,Movies,,@sheepnik,,,
12,2024-07-22,MOVIES,Harry Nilsson,Everybody’s Talking At Me,,@shezza_t / @swisslet,,,Midnight Cowboy
12,2024-07-22,MOVIES,Ice Cream on Mondays,Bonnie & Clyde,,@halesandales,,,
12,2024-07-22,MOVIES,Big Head Todd,Boom Boom,,Tony,,,Contraband
12,2024-07-22,MOVIES,Soul Asylum,Misery,,@truck,,,Clerks 4
12,2024-07-22,MOVIES,Wire,French Film Blurred,,@sodslawyer,,,
12,2024-07-22,MOVIES,Radiohead,Spectre,,@TwoClownsEating,,,Spectre (kinda)
12,2024-07-22,MOVIES,Starship,Nothing’s Gonna Stop Us Now,,@TheBreadMonkey,,,Mannequin
12,2024-07-22,MOVIES,Bobby Womack,Across 110th Street,,,,,
12,2024-07-22,MOVIES,Louis Armstrong,We Have All The Time In The World,,@pdcawley,,,On Her Majesty’s Secret Service
,,,,,,,,,
13,2024-07-29,SPORTS!,Yello,The Race,,@DaveyBot,,,
13,2024-07-29,SPORTS!,Belle & Sebastian,Stars of Track & Field,,@swisslet,,,
13,2024-07-29,SPORTS!,Kirsty MacColl,England 2 Colombia 0,,@sheepnik,,,
13,2024-07-29,SPORTS!,The Pioneers ,Long Shot Kick De Bucket,,@TwoClownsEating,,,
13,2024-07-29,SPORTS!,Lord Beginner,Victory TestMatch,,@rollotreadway,,,
13,2024-07-29,SPORTS!,10CC,Dreadlock Holiday,,@IanRobinson,,,
13,2024-07-29,SPORTS!,Duckworth Lewis Method,Jiggery Pokery,,@Swisslet,,,
13,2024-07-29,SPORTS!,Tom Lehrer,"Fight Fiercely, Harvard",,@rhevian,,,
13,2024-07-29,SPORTS!,Chas & Dave,Snooker Loopy,,@petraphoenix,,,
13,2024-07-29,SPORTS!,Stereolab,Ping Pong,,,,,
13,2024-07-29,SPORTS!,Eisenfunk,Pong,,@beardyfoxy,,,
13,2024-07-29,SPORTS!,Lonely Island,We Like Sportz,,,,,
13,2024-07-29,SPORTS!,Jurassic 5,The Game,,@DaveyBot,,,
13,2024-07-29,SPORTS!,Kraftwerk,Tour De France,,@sodslawyer,,,
